lot_id,section,lot,status,purchaser,year_sold,price,paid,burial_count,notes,geometry_source,updated_by,updated_on
A-1,A,1,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-2,A,2,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-3,A,3,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-4,A,4,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-5,A,5,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-6,A,6,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-7,A,7,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-8,A,8,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-9,A,9,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-10,A,10,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-11,A,11,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-12,A,12,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-13,A,13,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-14,A,14,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-15,A,15,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-16,A,16,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-17,A,17,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-18,A,18,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-19,A,19,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-20,A,20,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-21,A,21,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-22,A,22,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-23,A,23,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-24,A,24,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-25,A,25,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-26,A,26,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-27,A,27,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-28,A,28,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-29,A,29,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-30,A,30,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-31,A,31,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-32,A,32,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-33,A,33,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-34,A,34,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-35,A,35,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-36,A,36,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-37,A,37,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-38,A,38,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-39,A,39,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-40,A,40,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-41,A,41,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-42,A,42,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-43,A,43,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-44,A,44,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-45,A,45,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-46,A,46,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-47,A,47,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-48,A,48,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-49,A,49,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-50,A,50,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-51,A,51,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-52,A,52,occupied,,,,,2,,paper,import 2026-09-04,2026-09-04
A-53,A,53,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-54,A,54,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-55,A,55,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-56,A,56,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-57,A,57,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-58,A,58,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-59,A,59,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-60,A,60,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-61,A,61,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-62,A,62,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-63,A,63,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-64,A,64,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-65,A,65,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-66,A,66,occupied,,,,,2,,paper,import 2026-09-04,2026-09-04
A-67,A,67,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-68,A,68,occupied,,,,,2,,paper,import 2026-09-04,2026-09-04
A-69,A,69,occupied,,,,,2,,paper,import 2026-09-04,2026-09-04
A-70,A,70,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-71,A,71,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-72,A,72,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-73,A,73,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-74,A,74,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-75,A,75,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-76,A,76,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-77,A,77,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-78,A,78,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-79,A,79,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-80,A,80,occupied,,,,,1,,paper,import 2026-09-04,2026-09-04
A-81,A,81,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-82,A,82,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-83,A,83,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-84,A,84,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-85,A,85,open,,,,,0,,paper,import 2026-09-04,2026-09-04
A-86,A,86,open,,,,,0,,paper,import 2026-09-04,2026-09-04
